博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
65,中国，唐代（618-907 年）。青铜，漆嵌银；直径：11.8 厘米（4.5/8 英寸）。,镜面,618–907,中国 - 唐朝,[],https://clevelandart.org/art/1915.603,https://openaccess-cdn.clevelandart.org/1915.603/1915.603_web.jpg
66,中国，汉代（公元前 202 年至公元前 220 年）。青铜；直径：11.8 厘米（4.5/8 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金 1915.604 号捐赠。,圈纹瑞兽镜,公元前206年-公元前220年,中国 - 汉朝,[],https://clevelandart.org/art/1915.604,https://openaccess-cdn.clevelandart.org/1915.604/1915.604_web.jpg
67,中国，唐代（618-907 年）。青铜，漆嵌银；直径：11.8 厘米（4.5/8 英寸）。,镜面,618–907,中国 - 唐朝,[],https://clevelandart.org/art/1915.605,https://openaccess-cdn.clevelandart.org/1915.605/1915.605_web.jpg
68,青铜；直径：13.1 厘米（5 3/16 英寸）。,镜面,25-220 ce,中国 - 汉朝,"J. C. [JOHN CALVIN] FERGUSON 福开森博士 [1866-1945], 纽顿，马萨诸塞州，卖给 JOHN HUNTTTON 艺术和理工信托基金，赠送给克利夫兰艺术博物馆 (?-1915)；克利夫兰艺术博物馆，克利夫兰，哦 (1915-)",https://clevelandart.org/art/1915.606,https://openaccess-cdn.clevelandart.org/1915.606/1915.606_web.jpg
69,青铜；直径：16 厘米（6.5/16 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠品 1915.607,镜面,25-220 ce,中国 - 汉朝,[],https://clevelandart.org/art/1915.607,https://openaccess-cdn.clevelandart.org/1915.607/1915.607_web.jpg
70,中国，六朝时期（公元前220-589年）。青铜；直径：16厘米（6.5/16英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工学院信托基金赠品 1915.608,镜面,317-581 CE,中国 - 南朝,[],https://clevelandart.org/art/1915.608,https://openaccess-cdn.clevelandart.org/1915.608/1915.608_web.jpg
71,中国，唐代（618-907 年），青铜，漆嵌银；总尺寸： 17.8 x 17.8 厘米（7 x 7 英寸）。,镜面,618–907,中国 - 唐朝,[],https://clevelandart.org/art/1915.609,https://openaccess-cdn.clevelandart.org/1915.609/1915.609_web.jpg
72,中国，汉代（公元前 202 年至公元前 220 年）。青铜；直径：19.1 厘米（7 1/2 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金 1915.610 号赠品。,镜面,公元前206年-公元前220年,中国 - 汉朝,[],https://clevelandart.org/art/1915.610,https://openaccess-cdn.clevelandart.org/1915.610/1915.610_web.jpg
73,中国，东汉（公元前25-220年）。青铜；直径：21厘米（8 1/4英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠品 1915.611,镜面,25-220 ce,中国 - 汉朝,[],https://clevelandart.org/art/1915.611,https://openaccess-cdn.clevelandart.org/1915.611/1915.611_web.jpg
74,中国，清代（1644-1911）。漆木；总长：37.5 厘米（14 3/4英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠品 1915.612,瓶,1644–1911,中国 - 清朝,[],https://clevelandart.org/art/1915.612,https://openaccess-cdn.clevelandart.org/1915.612/1915.612_web.jpg
75,中国，清代（1644-1911）。漆木；总长：37.5 厘米（14 3/4英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠品 1915.613,瓶,1644–1911,中国 - 清朝,[],https://clevelandart.org/art/1915.613,https://openaccess-cdn.clevelandart.org/1915.613/1915.613_web.jpg
76,中国，清朝（1644-1911）。手卷，绢上墨迹；总尺寸：31.8 x 297.2 厘米（12 1/2 x 117 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送 1915.616,《云宫山水》,1644–1911,亚洲 - 手卷,[],https://clevelandart.org/art/1915.616,https://openaccess-cdn.clevelandart.org/1915.616/1915.616_web.jpg
77,中国，清朝（1644-1911 年）或民国时期（1912-49 年）。手卷，纸上水墨和彩色；总尺寸：30.5 x 799 厘米（12 x 314 9/16 英寸）。,《花卉昆虫》,c.1900,亚洲 - 手卷,(J.C.[约翰-卡尔文]-弗格森博士[1866-1945 年]，马萨诸塞州纽顿，出售给克利夫兰艺术博物馆）（?-1915 年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1915 年--）。,https://clevelandart.org/art/1915.617,https://openaccess-cdn.clevelandart.org/1915.617/1915.617_web.jpg
78,中国，清朝（1644-1911），乾隆年间（1736-95）。手卷，丝绸：织锦；墨和色彩；丝绸：刺绣；总尺寸：273 x 29.6 x 34.5 厘米（107 1/2 x 11 5/8 x 13 9/16 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金会赠送 1915.618,《泾渭分明图》,1736–95,纺织品,约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?-1915 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰市（1915 年--）；约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?,https://clevelandart.org/art/1915.618,https://openaccess-cdn.clevelandart.org/1915.618/1915.618_web.jpg
79,中国，清朝（1644-1911），乾隆年间（1736-95）.手卷，丝绸：织锦；墨与色彩；丝绸：刺绣；克利夫兰艺术博物馆，约翰-亨廷顿艺术与理工信托基金会赠送 1915.618.A,《泾渭分明图》,1736–95,纺织品,约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?-1915 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰市（1915 年--）；约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?,https://clevelandart.org/art/1915.618.a,https://openaccess-cdn.clevelandart.org/1915.618.a/1915.618.a_web.jpg
80,中国，清朝（1644-1911），乾隆年间（1736-95）。丝线和金属线：挂毯编织，墨彩绘制；经线：76.2 厘米（30 英寸）；纬线：93.3 厘米（36.3/4 英寸）；整体：55.5 x 55 厘米（21.7/8 x 21.5/8英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金会赠送 1915.618.B,《泾渭分明》挂轴护裱,1736–95,纺织品,约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?-1915 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰市（1915 年--）；约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?,https://clevelandart.org/art/1915.618.b,https://openaccess-cdn.clevelandart.org/1915.618.b/1915.618.b_web.jpg
81,矛头，公元前 1045-256 年。中国，周朝（约公元前 1046-256 年）。青铜；总长：19.1 厘米（7 1/2 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金 1915.619 号捐赠。,矛镞,公元前 1045-256 年,中国 - 周朝,"Wu yun 吳雲 [1811-1883]; (Dr. John C. Ferguson 福開森 [1866-1945], 卖给 克利夫兰艺术博物馆) (? -1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.619,https://openaccess-cdn.clevelandart.org/1915.619/1915.619_web.jpg
82,中国，元朝（1271-1368 年）。册页，纸上墨迹；直径：22.9 厘米（9 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送 1915.620,猴儿,1200 年代末-1300 年代,亚洲 - 相册叶,约翰-卡尔文-弗格森博士[1866-1945]，马萨诸塞州纽顿，赠送给克利夫兰艺术博物馆(?-1915)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1915-),https://clevelandart.org/art/1915.620,https://openaccess-cdn.clevelandart.org/1915.620/1915.620_web.jpg
83,绢本，墨，微色；总尺寸：169.5 x 105.1 厘米（66.3/4 x 41.3/8英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送 1915.621,《巨然笔意山水》,1368–1644,中国 - 明朝,(J.C.[约翰-卡尔文]-弗格森博士[1866-1945]，马萨诸塞州纽顿，卖给克利夫兰艺术博物馆）（？,https://clevelandart.org/art/1915.621,https://openaccess-cdn.clevelandart.org/1915.621/1915.621_web.jpg
84,中国，清朝（1644-1911）.丝绸；孔雀尾羽刺绣；总尺寸：138.4 x 185.4 厘米（54 1/2 x 73 英寸）.克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金会赠送 1915.622,皇帝袍,1770s,纺织品,J. C. [John Calvin] Ferguson 博士[福开森，1866-1945 年]，马萨诸塞州纽顿市，卖给 H. W. [Henry Watson] Kent [1866-1948 年]，作为约翰-亨廷顿艺术和理工信托基金的代理人（？-1915 年 1 月）；约翰-亨廷顿艺术和理工信托基金，克里夫兰，俄亥俄州，赠予克里夫兰艺术博物馆（1915 年）；克里夫兰艺术博物馆，克里夫兰，俄亥俄州（1915 年--）；约翰-亨廷顿艺术和理工信托基金，克里夫兰，俄亥俄州，赠予克里夫兰艺术博物馆（1915 年--）。,https://clevelandart.org/art/1915.622,https://openaccess-cdn.clevelandart.org/1915.622/1915.622_web.jpg
85,中国，唐代（618-907 年）。陶器；总长：43.5 厘米（17 1/8 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠品 1915.626,金属甲武士,618–907,中国 - 唐朝,(约翰-卡尔文-弗格森博士 [1866-1945]，?-1915 年，出售给克利夫兰艺术博物馆) (?-1915); 克利夫兰艺术博物馆，克利夫兰，哦，1915 年至今 (1915-),https://clevelandart.org/art/1915.626,https://openaccess-cdn.clevelandart.org/1915.626/1915.626_web.jpg
86,玉；直径：23.5 厘米（9 1/4英寸）；内径：7 厘米（2 3/4英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送 1915.627,玉璧,公元前 3000-2000 年,中国 - 新石器时代,"(Dr. John C. Ferguson 福開森 [1866-1945], 卖给 克利夫兰艺术博物馆 through H. W. [henry watson] kent [1866-1948] ) (?-1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.627,https://openaccess-cdn.clevelandart.org/1915.627/1915.627_web.jpg
87,玉；直径：21.2 厘米（8.3/8 英寸）；内径：5.7 厘米（2.1/4 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠品 1915.628,玉璧,公元前 3000-2000 年,中国 - 新石器时代,"(Dr. John C. Ferguson 福开森 [1866-1945], 卖给 克利夫兰艺术博物馆) (? -1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.628,https://openaccess-cdn.clevelandart.org/1915.628/1915.628_web.jpg
88,中国，商代（约公元前 1600 年至公元前 1046 年）。玉；总长：9.2 厘米（3.5/8 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠品 1915.629,琮,c.公元前 1800-1400 年,中国 - 商朝,[],https://clevelandart.org/art/1915.629,https://openaccess-cdn.clevelandart.org/1915.629/1915.629_web.jpg
89,玉（软玉）；总长：20.6 厘米（8.1/8 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送 1915.630,玉琮,c.公元前 1600-1056 年,中国 - 商朝,(Dr. John C. Ferguson 福开森 [1866-1945]，通过 H. W. [Henry Watson] Kent [1866-1948]出售给克利夫兰艺术博物馆)(?-1915)；克利夫兰艺术博物馆，克利夫兰，哦 (1915-),https://clevelandart.org/art/1915.630,https://openaccess-cdn.clevelandart.org/1915.630/1915.630_web.jpg
90,中国，清朝（1644-1911）。丝绸；刺绣；总尺寸：101 x 58.4 厘米（39.3/4 x 23 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金会赠送 1915.653,缂丝《石与菊图》,1700-1800 年代,纺织品,[],https://clevelandart.org/art/1915.653,https://openaccess-cdn.clevelandart.org/1915.653/1915.653_web.jpg
91,中国，清朝（1644-1911）。丝绸，刺绣；总尺寸：101 x 59.4 厘米（39.3/4 x 23.3/8英寸）。,缂丝《石与水仙图》,1700-1800 年代,纺织品,[],https://clevelandart.org/art/1915.654,https://openaccess-cdn.clevelandart.org/1915.654/1915.654_web.jpg
92,中国，汉代（公元前 202 年-公元前 220 年）。陶器，模印浮雕；总尺寸：112.4 x 19 厘米（44 1/4 x 7 1/2 英寸）。克利夫兰艺术博物馆，Ralph King 夫妇赠 1915.66,墓室门柱筒瓦,100-200ce,中国 - 汉朝,拉尔夫-金[1855-1926]和芬妮-特克斯伯里-金[1867-1949]，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆(?-1915)；克利夫兰艺术博物馆，俄亥俄州克利夫兰市(1915-),https://clevelandart.org/art/1915.66,https://openaccess-cdn.clevelandart.org/1915.66/1915.66_web.jpg
93,中国，新石器时代（公元前3000-2000年）至商代（公元前1766-1045年）。软玉；总尺寸：7.9 x 0.5厘米（3 1/8 x 3/16英寸）。,章（仪式刃）,c.公元前 2500-1500 年,中国 - 新石器时代,[],https://clevelandart.org/art/1915.673,https://openaccess-cdn.clevelandart.org/1915.673/1915.673_web.jpg
94,中国，汉代（公元前 202 年-公元前 220 年）。陶器，模印浮雕；总尺寸：113.7 x 18.4 厘米（44.3/4 x 7.1/4 英寸）。克利夫兰艺术博物馆，Ralph King 夫妇赠 1915.68,墓室门柱筒瓦,100-200ce,中国 - 汉朝,[],https://clevelandart.org/art/1915.68,https://openaccess-cdn.clevelandart.org/1915.68/1915.68_web.jpg
95,中国，明朝（1368-1644 年）-清朝（1644-1911 年）.挂轴；绢本水墨设色；画幅：276 x 147.5 厘米（108 11/16 x 58 1/16 英寸）；带钮整体：380 x 184 厘米（149 5/8 x 72 7/16 英寸）.克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送 1915.680,《骑马狩猎图》,c.1600-1700 年代,亚洲 - 挂轴,(约翰-卡尔文-弗格森博士 [1866-1945]，出售给克利夫兰艺术博物馆) (?-1915)；克利夫兰艺术博物馆，克利夫兰，哦 (1915-),https://clevelandart.org/art/1915.680,https://openaccess-cdn.clevelandart.org/1915.680/1915.680_web.jpg
96,空心砖：墓室门楣，公元前 100-200 年。中国，汉代（公元前 202 年-公元前 220 年）。陶器，模印浮雕；总长：137.2 厘米（54 英寸）。,墓室门楣筒瓦,100-200ce,中国 - 汉朝,[],https://clevelandart.org/art/1915.69,https://openaccess-cdn.clevelandart.org/1915.69/1915.69_web.jpg
97,中国，汉代（公元前 202 年至公元前 220 年），陶器，带印花装饰；总长：35.6 厘米（14 英寸）。克利夫兰艺术博物馆，Ralph King 先生和夫人 1915.70 的礼物。,墓砖,公元前206年-公元前220年,中国 - 汉朝,[],https://clevelandart.org/art/1915.70,https://openaccess-cdn.clevelandart.org/1915.70/1915.70_web.jpg
98,墓砖，公元前 771-256 年。中国，河南省，金村，东周时期（公元前 770-256 年）。陶器，带印花装饰；总尺寸：175.2 x 43.2 厘米（69 x 17 英寸）。,墓砖,公元前 771-256 年,中国 - 周朝,RALPH KING [1855-1926] AND FANNY TEWKSBURY KING [1867-1949]，CLEVELAND HIGHS，OH，赠送给克利夫兰艺术博物馆(?-1915)；克利夫兰艺术博物馆，CLEVELAND，OH (1915-),https://clevelandart.org/art/1915.71,https://openaccess-cdn.clevelandart.org/1915.71/1915.71_web.jpg
99,中国，汉代（公元前 202 年至公元前 220 年）。陶器，有印花装饰；总尺寸：117.5 x 35.3 厘米（46 1/4 x 13 7/8 英寸）。克利夫兰艺术博物馆，Ralph King 夫妇赠 1915.73,墓砖,公元前206年-公元前220年,中国 - 汉朝,[],https://clevelandart.org/art/1915.73,https://openaccess-cdn.clevelandart.org/1915.73/1915.73_web.jpg
100,中国，唐代（618-907）。石材；总尺寸：35.6 x 24.2 厘米（14 x 9 1/2 英寸）。克利夫兰艺术博物馆，Ralph King 夫妇赠 1915.75,双十一面观音角石,c.700,中国 - 唐朝,[],https://clevelandart.org/art/1915.75,https://openaccess-cdn.clevelandart.org/1915.75/1915.75_web.jpg
101,观音菩萨头像，约 510-520 年。中国，六朝时期（317-581 年）， 北魏时期（386-534 年）。,观音菩萨头像,c.510-520,中国 - 北朝,[],https://clevelandart.org/art/1915.77,https://openaccess-cdn.clevelandart.org/1915.77/1915.77_web.jpg
102,风中的竹子，1724 年。马郁（中国，1706-1724 年）。挂轴，绢上水墨；总尺寸：140 x 57.5 厘米（55 1/8 x 22 5/8 英寸）。,《风竹图》,1724,亚洲 - 挂轴,[],https://clevelandart.org/art/1915.96,https://openaccess-cdn.clevelandart.org/1915.96/1915.96_web.jpg
103,山水画，1892 年。任余（中国，1853-1901 年）。一套四幅挂轴；纸本设色；总尺寸：149.8 x 40.7 厘米（59 x 16 英寸）。克利夫兰艺术博物馆，Charles L. Freer 赠 1915.97,《山水》,1892,亚洲 - 挂轴,查尔斯-兰-弗雷尔（1854-1919 年），密歇根州底特律市，赠送给克利夫兰艺术博物馆 （?-1915 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰市（1915 年-）。,https://clevelandart.org/art/1915.97,https://openaccess-cdn.clevelandart.org/1915.97/1915.97_web.jpg
104,山水，1892 年。任余（中国，1853-1901 年）。挂轴；纸本设色；总尺寸：149.5 x 40.7 厘米（58.7/8 x 16 英寸）。克利夫兰艺术博物馆，Charles L. Freer 1915.97.1 赠送。,《山水》,1892,亚洲 - 挂轴,查尔斯-兰-弗雷尔（1854-1919 年），密歇根州底特律市，赠送给克利夫兰艺术博物馆 （?-1915 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰市（1915 年-）。,https://clevelandart.org/art/1915.97.1,https://openaccess-cdn.clevelandart.org/1915.97.1/1915.97.1_web.jpg
105,山水，1892 年。任余（中国，1853-1901 年）。挂轴；纸本设色；总尺寸：149.8 x 40.7 厘米（59 x 16 英寸）。克利夫兰艺术博物馆，Charles L. Freer 1915.97.2 赠送。,《山水》,1892,亚洲 - 挂轴,查尔斯-兰-弗雷尔（1854-1919 年），密歇根州底特律市，赠送给克利夫兰艺术博物馆 （?-1915 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰市（1915 年-）。,https://clevelandart.org/art/1915.97.2,https://openaccess-cdn.clevelandart.org/1915.97.2/1915.97.2_web.jpg
